TIME,GEO,UNIT,COICOP,Value,Flag and Footnotes
1997/09,Estonia,Annual rate of change,All-items HICP,10.2,
1997/09,Ireland,Annual rate of change,All-items HICP,0.6,
1997/09,Greece,Annual rate of change,All-items HICP,4.9,
1997/09,Spain,Annual rate of change,All-items HICP,1.9,
1997/09,France,Annual rate of change,All-items HICP,1.4,
1997/09,Croatia,Annual rate of change,All-items HICP,:,
1997/09,Italy,Annual rate of change,All-items HICP,1.6,
1997/09,Cyprus,Annual rate of change,All-items HICP,3.2,
1997/09,Latvia,Annual rate of change,All-items HICP,7.5,
1997/09,Lithuania,Annual rate of change,All-items HICP,9.5,
1997/09,Luxembourg,Annual rate of change,All-items HICP,1.7,
1997/09,Hungary,Annual rate of change,All-items HICP,18.1,d
1997/09,Malta,Annual rate of change,All-items HICP,3.7,
1997/09,Netherlands,Annual rate of change,All-items HICP,2.5,
1997/09,Austria,Annual rate of change,All-items HICP,1.2,
1997/09,Poland,Annual rate of change,All-items HICP,13.9,d
1997/09,Portugal,Annual rate of change,All-items HICP,1.5,
1997/09,Romania,Annual rate of change,All-items HICP,161.3,
1997/09,Slovenia,Annual rate of change,All-items HICP,9.1,
1997/09,Slovakia,Annual rate of change,All-items HICP,5.5,
1997/09,Finland,Annual rate of change,All-items HICP,1.6,
1997/09,Sweden,Annual rate of change,All-items HICP,2.6,
1997/09,"European Economic Area (EEA18-1995, EEA28-2004, EEA30-2007, EEA31-2013, EEA30-2020)",Annual rate of change,All-items HICP,1.7,
1997/09,Iceland,Annual rate of change,All-items HICP,1.9,
1997/09,Norway,Annual rate of change,All-items HICP,2,
1997/09,Switzerland,Annual rate of change,All-items HICP,:,
1997/09,United Kingdom,Annual rate of change,All-items HICP,1.8,
1997/09,North Macedonia,Annual rate of change,All-items HICP,:,
1997/09,Serbia,Annual rate of change,All-items HICP,:,
1997/09,Turkey,Annual rate of change,All-items HICP,90.1,d
1997/09,United States,Annual rate of change,All-items HICP,:,
